,date,3hrKp,6hrKp,9hrKp,12hrKp,15hrKp,18hrKp,21hrKp,24hrKp,27hrKp,30hrKp,33hrKp,36hrKp,39hrKp,42hrKp,45hrKp,48hrKp,51hrKp,54hrKp,57hrKp,60hrKp,63hrKp,66hrKp,69hrKp,72hrKp
114,2023-03-07,3.0,2.67,2.0,4.0,4.0,2.33,2.67,2.67,3.0,2.33,2.0,1.33,2.33,2.0,1.67,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67
115,2023-03-08,3.0,2.33,2.0,1.33,2.33,2.0,1.67,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,2.33,1.67,2.0,2.0,2.0,2.0,2.67,2.33
116,2023-03-09,3.0,2.67,2.0,1.33,1.0,2.0,2.0,2.33,2.33,2.67,2.0,1.33,1.33,2.0,2.67,2.33,2.0,2.0,3.33,2.67,2.33,2.0,2.33,2.67
117,2023-03-10,2.33,2.67,2.0,1.33,1.33,2.0,2.67,2.33,2.0,2.0,3.33,2.67,2.33,2.0,2.33,2.67,2.33,2.67,2.33,2.0,2.0,2.0,2.0,2.0
118,2023-03-11,2.0,2.0,3.33,2.67,2.33,2.0,2.33,2.67,2.33,2.67,2.33,2.0,2.0,2.0,2.0,2.0,1.67,1.33,1.67,1.67,1.33,1.33,1.33,1.33
119,2023-03-12,1.67,1.33,1.67,1.33,1.33,1.33,1.67,1.33,2.33,1.67,1.67,1.67,2.33,2.33,2.33,2.67,2.67,3.0,3.67,4.0,4.67,3.67,3.67,3.0
120,2023-03-13,2.0,2.33,2.0,2.0,2.33,2.33,3.33,4.33,5.0,4.67,4.0,3.0,3.67,2.33,3.0,4.0,5.0,5.33,3.67,3.0,3.67,2.33,2.67,3.0
121,2023-03-14,5.0,4.67,4.0,3.0,3.67,2.33,3.0,4.0,5.0,5.33,3.67,3.0,3.67,2.33,2.67,3.0,2.67,2.0,2.33,2.33,2.33,2.33,2.33,2.67
122,2023-03-15,5.0,5.33,3.67,3.0,3.67,2.33,2.67,3.0,2.67,2.0,2.33,2.33,2.33,2.33,2.33,2.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
123,2023-03-16,2.33,2.67,3.0,2.0,1.67,1.33,1.0,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
124,2023-03-17,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,2.67,4.0,3.67,2.67,2.67,1.0,1.0,1.67
125,2023-03-18,1.67,2.67,1.67,1.33,0.33,0.33,1.0,1.67,2.67,3.67,3.67,3.0,2.67,2.0,2.67,3.0,3.33,3.67,4.0,3.67,3.33,2.67,2.0,3.33
126,2023-03-19,2.67,3.67,3.67,3.0,2.67,2.0,2.67,3.0,3.33,3.67,4.0,3.67,3.33,2.67,2.0,3.33,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
